pregunta_1,pregunta_2,pregunta_3,pregunta_4,pregunta_5,pregunta_6,pregunta_7,pregunta_8,pregunta_9,pregunta_10,pregunta_11,pregunta_12,pregunta_13,pregunta_14,pregunta_15,pregunta_16,pregunta_17,pregunta_18,pregunta_19,pregunta_20,pregunta_21,pregunta_22,pregunta_23,pregunta_24,pregunta_25,pregunta_26,pregunta_27,pregunta_28,pregunta_29,pregunta_30,pregunta_31,pregunta_32,pregunta_33,pregunta_34,pregunta_35,maestria
4,2,4,4,3,4,3,4,3,3,4,4,4,3,4,3,4,4,3,2,3,2,2,2,2,4,2,4,2,2,3,3,4,5,3,Investigación Científica
4,2,4,3,2,3,2,2,4,4,4,4,4,4,4,2,3,3,3,2,4,3,3,3,2,4,3,3,4,4,2,2,4,5,3,Investigación Científica
4,2,4,2,4,2,4,3,4,4,4,2,2,4,4,4,3,3,3,5,5,4,3,3,4,2,2,4,3,3,4,4,2,3,2,Sistemas de Información
4,4,4,2,2,2,3,2,4,4,3,2,3,4,3,4,4,2,3,2,4,4,2,2,3,3,4,2,2,2,2,3,2,3,5,Gerencia de Proyectos
3,3,4,4,2,3,2,3,4,3,3,4,3,4,2,2,3,3,3,2,4,3,4,4,4,3,3,4,4,2,4,3,3,2,3,Transformación Digital
4,4,4,4,5,5,4,4,3,2,2,3,4,2,3,4,3,2,4,2,3,3,2,3,4,4,4,3,3,4,2,3,4,2,4,Inteligencia Artificial
2,2,2,4,2,4,3,3,3,4,3,2,3,3,4,4,2,2,3,4,5,5,2,2,2,4,4,3,3,2,2,2,4,3,2,Sistemas de Información
4,3,2,2,3,4,3,2,2,3,4,2,2,3,3,3,2,2,3,4,2,4,2,4,3,3,2,2,4,3,3,2,2,4,4,Gerencia de Proyectos
3,2,2,4,2,2,2,4,4,3,4,3,4,4,3,4,2,4,3,4,4,3,4,3,3,2,4,2,3,2,5,4,2,4,2,Finanzas Corporativas
4,5,4,5,5,4,5,4,4,3,3,3,2,2,3,3,3,2,3,4,4,4,3,3,3,4,2,3,2,4,4,4,2,3,3,Inteligencia Artificial
5,4,5,5,5,5,4,2,4,2,3,4,2,2,4,4,3,4,3,2,3,4,2,3,2,3,2,4,3,3,4,2,3,4,3,Inteligencia Artificial
4,3,2,4,2,4,4,4,3,2,3,3,3,2,4,3,2,4,4,4,2,4,2,2,2,4,3,3,3,2,4,5,4,4,2,Finanzas Corporativas
3,4,4,2,4,3,3,4,3,2,3,2,2,2,4,5,5,5,4,4,3,4,3,2,2,4,2,3,3,4,2,4,3,4,2,Ciberseguridad
3,3,4,4,4,3,4,3,3,2,3,3,4,3,5,5,4,4,5,3,3,2,3,3,2,2,2,3,3,4,4,2,3,4,3,Ciberseguridad
3,3,3,2,4,3,3,3,3,2,2,3,3,2,2,3,4,3,2,4,3,4,4,3,3,4,4,3,4,4,4,4,3,3,2,Marketing Digital
4,2,4,3,4,3,2,4,4,3,2,4,4,3,3,3,2,4,2,2,3,4,4,4,2,5,5,5,3,3,3,3,3,4,3,MBA Ejecutivo
3,3,3,2,2,4,4,4,4,5,5,5,4,4,2,3,2,3,2,2,4,4,3,3,3,3,3,2,3,2,2,2,4,4,3,Ciencia de Datos
4,2,3,3,2,3,3,3,4,3,4,3,3,4,4,4,2,3,2,2,4,4,2,2,3,4,4,4,4,3,3,4,4,4,5,Gerencia de Proyectos
2,3,3,3,3,3,3,2,3,3,3,2,3,2,3,4,2,2,2,2,2,4,2,3,4,4,5,5,2,3,4,3,3,3,3,MBA Ejecutivo
3,3,4,3,2,2,4,3,4,3,2,2,3,3,2,3,3,3,2,3,4,2,4,4,3,2,3,3,3,4,4,4,2,3,4,Gerencia de Proyectos
3,3,3,4,4,3,4,3,4,2,3,4,2,3,2,2,4,3,2,4,5,5,2,2,3,2,3,3,2,2,4,2,3,3,2,Sistemas de Información
3,3,4,2,2,3,4,2,2,3,4,2,4,4,3,2,3,2,3,2,4,4,3,3,4,2,3,4,3,2,4,5,4,4,2,Finanzas Corporativas
2,4,2,4,4,2,4,2,3,4,2,2,2,4,4,3,4,2,3,3,3,4,5,5,5,2,3,2,4,3,2,2,2,2,3,Transformación Digital
2,3,4,3,3,2,4,4,4,4,2,3,4,3,4,4,4,4,5,2,3,3,3,2,2,4,4,2,3,3,3,3,2,3,4,Ciberseguridad
2,4,2,4,4,3,2,3,3,2,3,4,3,4,4,5,4,4,5,3,3,3,4,2,4,4,4,2,2,3,2,2,4,3,4,Ciberseguridad
2,3,3,3,2,4,3,3,4,3,2,2,4,3,4,2,4,4,2,3,3,4,2,3,4,4,3,3,2,4,3,2,2,4,5,Gerencia de Proyectos
3,4,2,4,3,4,3,4,3,4,3,2,3,2,3,4,4,4,3,4,2,2,4,2,4,3,3,2,4,4,2,3,5,5,3,Investigación Científica
2,2,4,3,4,4,2,2,3,3,4,4,4,2,3,2,2,4,2,4,5,4,4,4,2,3,3,4,3,3,4,2,2,2,2,Sistemas de Información
3,4,2,4,2,2,2,4,4,3,4,4,4,3,3,2,3,2,2,5,4,4,2,4,2,3,2,2,3,3,2,4,3,2,4,Sistemas de Información
4,4,2,4,3,2,2,4,4,5,4,5,4,5,3,4,3,3,2,4,4,3,3,3,4,3,2,2,2,2,3,2,4,4,3,Ciencia de Datos
4,4,4,4,3,2,4,2,3,2,2,4,3,4,3,3,4,4,4,3,4,3,2,4,4,4,5,4,2,3,3,4,4,2,4,MBA Ejecutivo
4,4,3,3,4,3,3,4,2,2,2,4,2,2,3,3,3,3,4,4,4,4,4,3,2,2,2,2,3,3,3,3,3,2,2,Sistemas de Información
5,5,5,4,4,5,5,4,3,2,4,2,4,3,4,4,3,4,3,4,2,2,3,4,3,2,2,4,4,3,4,3,4,4,4,Inteligencia Artificial
2,4,2,2,4,3,2,4,4,4,4,4,3,2,3,4,4,3,3,3,3,3,4,4,3,5,4,4,4,4,3,3,4,4,3,MBA Ejecutivo
3,3,2,2,3,4,3,2,3,3,2,3,2,2,3,3,4,2,4,3,4,3,3,3,4,4,4,5,4,2,2,3,2,4,3,MBA Ejecutivo
4,4,4,4,4,4,5,2,3,2,4,4,3,2,2,2,4,2,4,2,2,3,4,3,3,2,2,3,4,2,3,2,3,3,3,Inteligencia Artificial
5,5,4,4,5,5,4,3,4,2,3,4,4,4,4,2,3,4,4,3,3,2,2,2,4,2,4,2,3,3,3,3,2,4,2,Inteligencia Artificial
5,4,5,5,5,4,4,3,4,4,2,3,2,4,2,3,3,4,4,3,2,4,4,4,4,2,3,4,2,4,3,4,2,4,4,Inteligencia Artificial
2,3,4,2,3,4,2,4,2,3,4,2,3,3,5,4,5,5,4,2,4,4,3,3,4,4,4,4,4,4,2,3,4,3,2,Ciberseguridad
3,3,4,3,2,2,4,3,4,3,4,3,3,3,2,4,3,4,3,4,2,4,4,4,2,4,4,2,3,3,3,2,4,4,3,Investigación Científica
3,3,3,3,4,3,3,4,3,3,3,4,2,3,2,4,3,3,3,2,2,4,2,2,3,4,4,3,4,2,3,2,3,3,5,Gerencia de Proyectos
4,3,4,3,4,3,4,3,3,3,4,3,4,3,2,3,4,3,4,4,2,3,2,2,4,5,4,5,3,4,3,3,4,3,4,MBA Ejecutivo
2,2,4,3,4,3,3,2,2,3,3,3,4,2,2,3,3,3,2,3,3,3,3,4,2,4,4,3,4,3,2,3,2,2,4,Gerencia de Proyectos
2,2,3,2,4,4,4,3,3,2,4,2,2,3,4,2,2,2,4,3,3,4,2,3,4,4,5,5,4,4,4,2,4,4,4,MBA Ejecutivo
4,3,3,3,3,2,3,4,3,4,3,3,2,4,3,4,3,2,4,4,4,4,2,3,3,4,5,5,3,2,3,3,4,3,2,MBA Ejecutivo
2,2,4,2,4,3,4,2,3,3,4,3,3,3,2,4,4,2,3,3,4,2,4,4,2,4,2,2,3,4,3,4,4,4,4,Investigación Científica
2,4,3,4,2,3,3,3,3,3,4,3,2,2,4,4,4,4,5,4,3,3,3,2,2,3,2,3,4,2,3,4,2,4,2,Ciberseguridad
3,3,2,2,4,2,4,2,3,3,3,4,2,3,3,4,2,4,3,2,4,2,2,2,4,3,3,2,3,4,4,4,4,3,2,Finanzas Corporativas
2,3,3,4,3,4,2,2,4,4,2,3,3,4,3,3,4,4,2,3,4,4,3,3,4,3,4,3,3,4,2,3,4,3,4,Gerencia de Proyectos
4,5,4,5,4,4,5,3,2,2,4,2,2,2,3,4,2,3,3,2,4,4,3,3,2,2,4,4,3,2,3,3,2,4,3,Inteligencia Artificial
2,2,4,4,4,2,4,5,4,4,5,5,4,4,4,4,3,2,3,4,4,4,3,3,3,2,2,4,2,3,4,2,4,2,2,Ciencia de Datos
2,2,4,2,4,4,4,2,4,3,2,4,4,4,2,2,3,4,2,4,3,4,2,3,3,4,3,4,3,2,4,5,3,2,3,Finanzas Corporativas
4,2,2,4,3,2,3,2,3,2,3,4,3,3,4,3,3,4,4,4,3,3,2,4,4,3,4,3,5,5,4,3,2,3,3,Marketing Digital
4,3,3,2,4,2,4,3,4,2,4,2,4,2,2,2,4,3,3,2,3,3,4,3,4,4,4,4,5,4,4,3,3,3,4,Marketing Digital
4,2,4,2,3,3,4,2,4,4,3,4,2,4,3,3,4,3,4,2,2,4,5,4,4,2,3,3,2,2,4,4,3,4,4,Transformación Digital
3,3,4,4,2,4,2,4,2,2,2,4,2,4,2,2,4,4,3,4,3,4,3,3,4,2,2,2,4,4,3,3,4,5,4,Investigación Científica
2,4,2,2,4,4,2,3,2,4,2,2,3,2,4,4,2,3,2,2,3,4,2,2,2,3,3,4,2,3,5,4,4,3,3,Finanzas Corporativas
3,4,4,3,3,4,3,2,2,4,2,3,2,4,4,3,3,4,2,4,3,2,4,4,2,3,2,2,4,2,4,5,2,3,4,Finanzas Corporativas
5,5,4,5,4,5,4,2,2,4,3,4,4,3,3,2,3,3,2,2,2,2,3,2,3,2,2,2,4,2,2,4,4,2,3,Inteligencia Artificial
4,4,5,4,5,4,5,2,4,2,3,2,3,3,3,4,2,3,3,2,3,2,2,3,4,4,3,4,3,2,2,4,2,4,4,Inteligencia Artificial
2,3,2,4,3,2,2,2,2,2,2,2,3,3,4,3,4,2,3,3,2,3,2,4,2,2,4,4,5,5,4,4,2,2,4,Marketing Digital
3,3,4,3,2,4,3,4,4,2,4,2,3,2,3,4,2,4,4,4,3,2,3,2,3,2,2,3,2,3,4,2,4,4,2,Investigación Científica
3,3,4,2,3,3,2,3,2,4,4,4,2,2,4,4,4,2,3,4,4,4,2,3,4,4,4,2,4,2,2,3,4,2,3,Sistemas de Información
4,3,3,2,2,2,4,5,4,4,4,5,5,4,4,2,2,4,3,3,4,2,3,3,3,4,3,4,3,3,4,2,2,2,2,Ciencia de Datos
4,2,2,4,2,3,4,4,2,3,4,2,3,4,4,3,4,4,3,4,2,3,3,4,2,2,3,2,5,4,2,3,3,2,3,Marketing Digital
3,3,4,3,3,3,4,2,3,3,2,3,3,2,3,2,2,3,4,4,2,3,4,5,4,4,3,3,2,4,4,4,4,3,4,Transformación Digital
5,4,5,4,5,5,5,2,3,4,2,4,4,4,3,3,2,4,2,2,4,2,2,2,3,3,4,4,2,3,3,4,4,3,2,Inteligencia Artificial
3,2,2,3,2,4,2,2,3,4,2,2,3,3,4,4,3,2,3,4,2,2,4,3,3,3,4,2,2,4,4,2,5,5,3,Investigación Científica
3,4,4,2,4,3,2,2,2,2,2,2,4,3,4,5,5,4,5,4,4,4,2,4,4,4,4,2,4,3,3,4,2,4,4,Ciberseguridad
5,5,4,4,4,5,4,3,4,3,4,2,4,4,2,3,2,2,3,4,4,2,4,4,4,2,3,2,3,4,3,3,3,2,4,Inteligencia Artificial
3,3,2,3,4,3,4,4,3,2,2,3,2,4,4,4,4,3,3,2,4,3,2,4,3,3,4,4,4,3,3,3,4,4,3,Investigación Científica
2,2,4,2,3,3,3,3,2,2,4,4,4,2,2,2,4,2,4,2,4,2,3,4,4,4,2,4,3,3,3,3,4,4,2,Investigación Científica
3,3,2,4,3,4,2,4,4,4,4,5,4,5,4,4,4,2,3,2,2,4,4,2,2,2,4,3,4,2,4,2,2,3,3,Ciencia de Datos
3,3,4,3,4,4,2,4,2,3,2,3,2,3,4,4,4,3,3,2,2,2,3,3,4,2,4,4,3,2,4,3,5,5,3,Investigación Científica
4,3,3,2,2,3,4,4,4,2,3,2,2,3,3,2,4,3,4,4,2,3,5,5,4,3,3,2,3,4,4,3,4,4,4,Transformación Digital
4,5,4,5,5,4,4,4,4,3,2,4,2,2,3,4,4,2,2,4,3,2,2,4,2,2,4,2,4,4,2,2,4,4,4,Inteligencia Artificial
5,5,4,4,4,4,5,3,4,2,2,2,2,3,4,3,2,4,4,4,2,2,4,4,4,2,2,2,4,3,3,4,2,2,3,Inteligencia Artificial
3,4,3,4,4,4,4,2,3,3,3,4,4,3,4,3,3,3,3,3,2,3,3,3,4,3,4,2,3,4,3,2,2,2,4,Gerencia de Proyectos
3,2,3,3,4,4,3,3,4,4,2,3,4,4,2,3,2,3,2,2,2,4,2,4,2,3,3,3,2,2,2,3,4,2,5,Gerencia de Proyectos
4,3,3,3,3,2,4,2,3,3,4,2,2,4,2,2,3,2,3,4,3,3,4,2,3,4,2,3,4,5,4,4,3,3,3,Marketing Digital
2,3,4,2,4,2,4,4,4,3,4,4,3,2,4,4,5,4,4,4,2,4,2,4,3,4,3,4,3,2,4,3,4,3,3,Ciberseguridad
2,3,2,2,2,3,4,4,3,4,2,2,4,4,5,4,5,4,5,4,4,2,4,4,2,2,3,4,4,3,3,2,4,4,4,Ciberseguridad
4,3,2,4,4,2,2,3,2,3,4,4,4,2,3,4,3,3,3,2,3,2,4,2,2,3,4,3,5,5,2,4,2,4,2,Marketing Digital
3,2,3,4,3,2,2,3,3,2,2,4,2,4,3,3,4,4,3,2,3,2,4,4,4,3,4,4,4,5,3,2,2,4,4,Marketing Digital
3,3,2,2,4,4,3,2,4,4,2,3,3,4,4,4,4,3,2,2,3,2,2,4,2,3,2,3,4,4,2,2,5,4,2,Investigación Científica
2,4,4,4,2,4,4,4,4,3,3,2,4,4,5,5,4,5,4,4,2,4,2,2,4,2,4,3,2,3,4,2,2,3,3,Ciberseguridad
2,4,2,3,3,3,2,2,4,2,4,4,2,2,5,4,4,4,5,2,4,3,3,3,3,4,3,4,3,4,3,3,4,4,2,Ciberseguridad
2,4,2,3,2,3,2,2,2,4,4,4,2,3,4,3,2,4,2,2,3,2,5,4,5,2,3,3,3,4,3,2,4,3,4,Transformación Digital
3,2,2,4,4,3,2,5,4,5,4,4,5,4,3,2,3,3,4,2,4,2,3,4,2,4,4,2,3,3,2,4,2,3,2,Ciencia de Datos
2,3,3,3,2,2,4,2,3,2,2,3,2,3,4,2,4,3,4,2,2,2,3,2,4,4,4,2,4,3,5,5,2,4,3,Finanzas Corporativas
2,4,2,2,3,4,2,4,4,5,5,4,4,4,2,2,2,2,3,2,4,3,4,2,2,2,3,3,3,4,2,2,2,4,3,Ciencia de Datos
3,3,4,2,2,2,3,3,4,2,4,4,2,3,3,4,3,2,3,3,2,4,3,4,4,2,2,2,4,3,2,2,4,2,4,Gerencia de Proyectos
4,4,3,4,3,4,3,4,4,4,4,4,3,4,2,4,2,2,2,3,3,2,2,2,3,3,2,4,3,2,4,5,3,3,3,Finanzas Corporativas
3,3,3,3,3,3,4,5,5,5,4,4,5,4,2,4,4,2,4,3,4,2,2,2,2,2,4,4,4,2,4,4,3,2,3,Ciencia de Datos
4,3,4,3,2,4,3,3,2,2,2,3,2,2,4,5,4,5,5,2,2,3,3,2,3,3,4,2,4,2,4,2,4,2,2,Ciberseguridad
4,4,3,2,2,4,2,2,4,2,2,2,2,4,2,3,2,2,2,4,4,4,2,3,3,3,2,3,2,3,2,3,2,2,4,Sistemas de Información
3,4,3,2,3,4,2,4,5,5,4,4,5,5,2,2,2,4,2,2,3,3,2,3,2,3,2,3,3,2,2,4,4,4,2,Ciencia de Datos
4,4,4,5,5,4,4,3,3,3,4,2,2,3,4,2,3,3,3,3,4,3,4,2,3,3,4,4,3,3,4,4,3,3,4,Inteligencia Artificial
3,3,2,2,2,4,2,4,3,4,4,2,2,4,4,2,3,2,3,4,3,4,5,5,4,4,4,2,2,3,4,4,3,2,4,Transformación Digital
3,3,3,2,3,4,4,4,2,4,3,3,2,3,4,2,2,2,4,2,3,4,4,4,3,3,4,4,4,2,4,4,4,2,3,Finanzas Corporativas
4,5,4,5,5,4,4,3,4,4,4,2,4,2,2,2,4,3,4,4,3,3,2,3,2,3,3,2,2,4,2,4,3,3,2,Inteligencia Artificial
2,2,4,4,4,4,3,2,3,3,4,4,3,4,3,3,2,2,3,4,4,4,2,4,4,2,4,3,2,4,3,2,3,2,2,Sistemas de Información
3,4,2,2,4,2,3,3,2,3,2,3,2,4,4,3,3,2,2,5,4,5,4,3,2,3,4,2,2,4,3,4,3,3,4,Sistemas de Información
5,5,4,5,4,5,5,4,3,3,4,3,2,3,3,3,2,3,4,3,2,3,3,3,4,3,4,2,3,3,2,4,3,3,3,Inteligencia Artificial
4,4,5,5,4,5,4,2,4,4,4,4,2,2,3,4,2,3,4,3,3,2,4,2,2,2,2,2,2,3,2,4,4,3,4,Inteligencia Artificial
3,2,2,3,3,3,2,4,3,4,3,2,2,4,4,3,4,2,4,2,4,3,3,2,3,5,5,5,2,3,4,2,4,4,4,MBA Ejecutivo
4,3,4,3,4,4,2,4,3,3,2,4,4,2,3,2,3,3,4,4,4,3,4,5,5,3,3,4,3,2,3,2,2,2,4,Transformación Digital
3,3,4,3,4,3,2,4,5,4,4,5,4,5,2,4,4,3,2,3,4,3,3,3,2,3,2,3,4,2,3,2,4,2,2,Ciencia de Datos
3,4,2,4,4,4,4,3,4,3,3,2,3,3,2,2,3,4,2,4,4,4,2,3,3,4,2,4,4,4,3,2,3,4,4,Marketing Digital
3,3,4,3,3,3,2,4,4,3,3,3,2,3,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,2,2,4,Sistemas de Información
2,2,4,2,4,4,4,3,2,3,3,3,2,2,3,4,3,2,2,2,2,2,2,2,3,2,4,4,5,4,4,3,2,2,4,Marketing Digital
4,3,2,3,4,3,3,4,4,3,2,4,3,4,4,2,2,2,4,4,3,3,3,2,4,2,2,4,4,4,4,2,2,2,5,Gerencia de Proyectos
3,2,2,4,4,2,2,5,5,5,4,4,4,5,4,3,2,2,4,2,2,2,4,4,4,3,4,3,4,4,2,2,3,2,3,Ciencia de Datos
3,3,4,2,4,4,4,2,3,4,2,4,2,2,4,3,4,3,2,4,2,4,4,2,3,3,3,4,3,4,4,3,2,3,4,Gerencia de Proyectos
3,3,3,2,4,4,3,4,2,3,2,4,3,2,2,4,4,2,2,3,3,3,5,4,4,2,4,4,3,4,2,3,3,2,3,Transformación Digital
2,3,4,3,3,2,2,3,3,4,3,2,4,3,2,3,3,4,4,3,2,2,3,3,2,2,4,3,4,3,4,4,3,2,4,Gerencia de Proyectos
5,5,5,5,4,4,5,4,3,2,4,4,2,2,2,3,3,3,2,2,4,3,2,2,4,3,3,4,2,2,3,2,2,2,4,Inteligencia Artificial
2,3,2,3,3,4,3,4,2,4,2,2,3,4,2,4,2,2,4,3,3,4,2,2,4,5,4,5,4,2,2,3,2,2,4,MBA Ejecutivo
4,3,2,3,2,3,2,4,4,3,4,2,4,3,4,3,3,4,4,3,2,2,3,2,3,2,4,4,4,5,2,2,3,3,4,Marketing Digital
4,5,4,4,4,5,4,3,2,3,2,3,2,2,4,2,2,2,3,3,4,4,2,4,2,3,3,3,3,2,4,2,2,3,4,Inteligencia Artificial
3,4,2,3,4,4,3,4,3,4,4,4,4,4,2,2,3,2,3,3,4,2,4,3,2,3,3,3,5,4,4,4,3,2,3,Marketing Digital
4,4,4,4,5,4,4,4,4,3,2,3,4,3,4,3,3,3,2,3,2,4,2,2,3,2,3,2,2,4,3,2,3,2,3,Inteligencia Artificial
4,4,2,4,2,2,2,3,3,4,2,4,2,4,4,4,2,4,3,2,3,2,3,3,4,4,4,5,2,4,2,3,2,2,2,MBA Ejecutivo
3,4,4,4,3,2,2,3,4,4,3,3,4,4,2,2,2,4,4,2,4,3,2,2,2,2,3,4,4,5,4,4,4,2,2,Marketing Digital
2,3,2,4,4,4,2,3,3,2,4,3,3,2,2,3,3,2,2,3,3,4,3,2,3,4,5,5,2,2,2,3,3,3,4,MBA Ejecutivo
2,2,2,4,2,2,4,4,3,2,4,2,3,4,2,4,2,3,3,2,2,4,2,4,4,4,2,4,4,4,4,2,5,5,3,Investigación Científica
2,4,2,4,4,4,4,3,4,2,2,3,2,2,4,4,3,2,3,3,4,3,4,4,4,4,4,2,4,4,4,2,2,3,3,Marketing Digital
3,3,3,2,3,4,3,4,4,2,3,3,2,4,2,4,2,2,3,3,3,3,2,3,4,4,4,4,3,4,2,2,2,4,2,MBA Ejecutivo
2,3,3,2,2,3,2,2,3,2,3,3,2,3,3,4,3,3,2,3,4,3,2,4,2,4,2,3,4,2,3,3,3,2,4,Gerencia de Proyectos
4,4,4,2,2,3,4,4,3,3,4,2,4,3,4,4,4,3,4,4,4,3,4,4,2,4,4,3,2,4,4,2,4,5,3,Investigación Científica
3,2,4,2,3,3,2,4,5,5,5,4,5,5,4,2,3,2,3,4,3,2,4,2,2,3,2,4,3,4,4,2,4,3,2,Ciencia de Datos
3,2,2,4,2,3,2,4,3,3,2,2,4,4,4,2,2,3,2,3,4,3,3,2,4,4,4,2,3,3,3,3,3,4,5,Gerencia de Proyectos
3,2,2,3,4,4,3,2,2,2,3,3,3,3,3,4,3,4,3,3,3,4,3,4,4,4,3,4,4,4,4,4,4,4,4,Marketing Digital
2,2,2,4,3,2,4,3,2,3,4,2,4,4,4,4,4,5,4,2,4,2,4,2,2,2,4,3,3,3,3,2,3,2,3,Ciberseguridad
3,4,4,3,4,2,2,2,2,2,2,4,4,2,4,3,2,4,4,3,2,3,2,3,4,2,4,2,4,4,2,2,2,4,2,Marketing Digital
2,3,2,4,2,3,2,3,2,2,3,3,3,2,3,3,4,2,2,5,5,4,4,4,2,3,4,2,4,3,3,4,3,4,2,Sistemas de Información
4,4,5,4,5,5,4,3,2,4,4,4,2,4,4,2,3,2,3,2,4,3,4,4,3,3,2,2,4,4,2,3,2,3,4,Inteligencia Artificial
2,2,2,3,4,4,4,2,3,3,4,2,3,2,3,3,4,4,4,2,2,4,3,3,4,2,3,2,2,3,3,2,4,4,2,Investigación Científica
2,2,2,2,4,4,3,2,4,2,2,2,3,4,4,4,2,4,2,3,2,2,2,4,4,3,4,4,3,3,3,4,3,2,5,Gerencia de Proyectos
3,4,4,3,3,2,2,5,4,5,4,4,5,4,2,4,3,4,3,4,2,4,2,3,4,3,3,2,4,3,4,4,4,4,2,Ciencia de Datos
5,4,4,4,4,4,5,3,3,4,3,3,4,4,3,3,2,4,3,2,3,4,3,2,2,4,4,4,4,4,2,3,3,3,2,Inteligencia Artificial
4,4,4,4,4,2,2,3,4,4,2,4,3,2,4,4,2,3,2,3,3,3,4,2,4,3,4,3,4,4,3,2,3,3,5,Gerencia de Proyectos
3,3,4,2,4,3,4,4,4,2,2,2,2,3,4,2,2,2,4,4,3,2,3,4,4,4,4,5,4,2,4,4,2,4,4,MBA Ejecutivo
3,4,2,3,2,4,2,4,2,2,2,4,4,3,2,4,3,4,2,4,3,3,3,3,4,3,3,4,5,5,4,2,4,4,4,Marketing Digital
2,4,4,4,4,3,2,4,2,3,4,3,2,4,3,2,4,3,3,4,3,3,2,2,2,4,4,3,4,3,4,4,4,4,2,Investigación Científica
3,4,4,4,2,2,3,4,4,4,4,4,5,5,4,4,3,4,2,2,4,4,3,3,2,2,4,3,4,2,4,4,3,2,3,Ciencia de Datos
3,2,3,4,2,3,2,4,4,3,4,4,3,4,4,3,4,2,4,2,3,3,3,4,2,5,4,4,2,2,4,4,3,4,4,MBA Ejecutivo
4,3,2,4,2,4,2,3,3,4,3,4,3,4,3,4,2,2,4,4,3,4,5,4,4,4,2,2,2,4,2,4,4,4,2,Transformación Digital
2,2,4,2,3,3,2,4,4,3,3,3,3,4,3,4,3,2,4,2,2,4,5,5,5,2,3,3,3,3,4,3,2,4,4,Transformación Digital
